[2022-07-02 19:37:56,926] [INFO] "GET /static/js/chunk-vendors.978f4292.js HTTP/1.1" 304 0
[2022-07-02 19:37:56,987] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:37:56,999] [INFO] "GET /static/fonts/element-icons.535877f5.woff HTTP/1.1" 304 0
[2022-07-02 19:37:56,999] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 19:38:28,945] [INFO] /Users/wangzijia/Api_project/Api_project/urls.py changed, reloading.
[2022-07-02 19:38:29,460] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:38:41,987] [INFO] "GET /look_log/ HTTP/1.1" 200 9153
[2022-07-02 19:41:32,008] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:41:35,079] [INFO] "GET /look_log/ HTTP/1.1" 200 9786
[2022-07-02 19:43:27,216] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:43:28,799] [INFO] "GET /look_log/ HTTP/1.1" 200 9945
[2022-07-02 19:43:32,194] [INFO] "GET /look_log/ HTTP/1.1" 200 10020
[2022-07-02 19:44:18,326] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 19:44:18,703] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:47:55,846] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:47:55,848] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 641
[2022-07-02 19:49:43,857] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:51:20,879] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:51:55,986] [INFO] "GET /look_log/ HTTP/1.1" 200 10612
[2022-07-02 19:52:55,856] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:53:29,590] [INFO] "GET /look_log/ HTTP/1.1" 200 10772
[2022-07-02 19:54:35,858] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:55:05,069] [INFO] "GET /look_log/ HTTP/1.1" 200 10932
[2022-07-02 19:55:41,951] [INFO] "GET /look_log/ HTTP/1.1" 200 11008
[2022-07-02 19:56:14,577] [INFO] "GET /look_log/ HTTP/1.1" 200 11084
[2022-07-02 19:56:15,854] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:56:26,951] [INFO] "GET /look_log/ HTTP/1.1" 200 11244
[2022-07-02 19:56:51,996] [INFO] "GET /get_user_detail/ HTTP/1.1" 200 71
[2022-07-02 19:56:53,250] [INFO] "GET /get_to_user_list/ HTTP/1.1" 200 264
[2022-07-02 19:56:57,888] [ERROR] zhangsan2 刚刚进入了帮助页面
[2022-07-02 19:56:57,889] [INFO] zhangsan2 刚刚进入了帮助页面
[2022-07-02 19:56:57,889] [WARNING] zhangsan2 刚刚进入了帮助页面
[2022-07-02 19:56:57,891] [INFO] "GET /help/ HTTP/1.1" 200 7741
[2022-07-02 19:56:58,975] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 19:56:58,984] [INFO] "GET /static/css/app.0feb4402.css HTTP/1.1" 304 0
[2022-07-02 19:56:58,985] [INFO] "GET /static/css/chunk-vendors.dd50ba92.css HTTP/1.1" 304 0
[2022-07-02 19:56:58,985] [INFO] "GET /static/js/app.7885c21f.js HTTP/1.1" 304 0
[2022-07-02 19:56:58,986] [INFO] "GET /static/js/chunk-vendors.978f4292.js HTTP/1.1" 304 0
[2022-07-02 19:56:59,055] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:56:59,060] [INFO] "GET /static/fonts/element-icons.535877f5.woff HTTP/1.1" 304 0
[2022-07-02 19:56:59,061] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 19:57:07,067] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:57:07,078] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 19:57:22,094] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 19:57:22,103] [INFO] "GET /static/css/app.2a5c87fa.css HTTP/1.1" 200 2582
[2022-07-02 19:57:22,103] [INFO] "GET /static/js/app.1df24b87.js HTTP/1.1" 200 33761
[2022-07-02 19:57:22,162] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:57:22,167] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 19:57:26,881] [INFO] "GET /look_log/ HTTP/1.1" 200 13245
[2022-07-02 19:59:02,085] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:00:50,088] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:00:57,049] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 20:00:57,060] [INFO] "GET /static/js/app.1df24b87.js HTTP/1.1" 304 0
[2022-07-02 20:00:57,061] [INFO] "GET /static/css/app.2a5c87fa.css HTTP/1.1" 304 0
[2022-07-02 20:00:57,117] [INFO] "GET /look_log/ HTTP/1.1" 200 13739
[2022-07-02 20:01:18,821] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 20:01:18,827] [INFO] "GET /static/js/app.63ed405d.js HTTP/1.1" 200 33885
[2022-07-02 20:01:18,872] [INFO] "GET /look_log/ HTTP/1.1" 200 13979
[2022-07-02 20:02:05,772] [INFO] "GET /get_project_list/ HTTP/1.1" 200 212
[2022-07-02 20:02:08,015] [INFO] "GET /static/css/app.2a5c87fa.css HTTP/1.1" 200 2582
[2022-07-02 20:02:08,087] [WARNING] "GET /static/js/app.63ed405d.js.map HTTP/1.1" 404 1825
[2022-07-02 20:02:08,096] [INFO] "GET /static/js/chunk-vendors.978f4292.js.map HTTP/1.1" 200 3558816
[2022-07-02 20:02:13,201] [INFO] "GET /add_project/ HTTP/1.1" 200 416
[2022-07-02 20:02:30,689] [INFO] "GET /look_log/ HTTP/1.1" 200 14554
[2022-07-02 20:11:38,990] [INFO] "GET /logout/ HTTP/1.1" 302 0
[2022-07-02 20:11:38,997] [INFO] "GET / HTTP/1.1" 200 4941
[2022-07-02 20:12:12,286] [INFO] "POST /login_action/ HTTP/1.1" 302 0
[2022-07-02 20:12:12,291] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 20:12:12,301] [INFO] "GET /static/css/app.2a5c87fa.css HTTP/1.1" 304 0
[2022-07-02 20:12:12,303] [INFO] "GET /static/js/app.82b35b9e.js HTTP/1.1" 200 33885
[2022-07-02 20:12:12,305] [INFO] "GET /static/css/chunk-vendors.dd50ba92.css HTTP/1.1" 200 240819
[2022-07-02 20:12:12,307] [INFO] "GET /static/js/chunk-vendors.978f4292.js HTTP/1.1" 200 897555
[2022-07-02 20:12:12,363] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:12:12,366] [INFO] "GET /static/fonts/element-icons.535877f5.woff HTTP/1.1" 200 28200
[2022-07-02 20:12:12,371] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 20:12:27,195] [INFO] "GET /get_env_list/ HTTP/1.1" 200 149
[2022-07-02 20:12:27,892] [INFO] "GET /get_project_list/ HTTP/1.1" 200 416
[2022-07-02 20:12:29,955] [INFO] "GET /get_api_shop_list/ HTTP/1.1" 200 318
[2022-07-02 20:12:31,745] [INFO] "GET /get_api_shop_list/ HTTP/1.1" 200 318
[2022-07-02 20:12:34,460] [ERROR] zhangsan2 刚刚进入了帮助页面
[2022-07-02 20:12:34,460] [INFO] zhangsan2 刚刚进入了帮助页面
[2022-07-02 20:12:34,461] [WARNING] zhangsan2 刚刚进入了帮助页面
[2022-07-02 20:12:34,463] [INFO] "GET /help/ HTTP/1.1" 200 7741
[2022-07-02 20:12:53,046] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 20:12:53,142] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:12:53,158] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 20:14:34,477] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:16:13,243] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:17:53,246] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:18:56,304] [INFO] "GET /get_api_shop_list/ HTTP/1.1" 200 318
[2022-07-02 20:18:57,618] [INFO] "GET /get_env_list/ HTTP/1.1" 200 149
[2022-07-02 20:18:59,053] [INFO] "GET /get_project_list/ HTTP/1.1" 200 416
[2022-07-02 20:18:59,710] [INFO] "GET /get_env_list/ HTTP/1.1" 200 149
[2022-07-02 20:19:02,529] [INFO] "GET /get_api_shop_list/ HTTP/1.1" 200 318
[2022-07-02 20:19:34,434] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:21:19,437] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:22:54,799] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:24:13,955] [INFO] /Users/wangzijia/Api_project/Api_app/models.py changed, reloading.
[2022-07-02 20:24:14,440] [INFO] Watching for file changes with StatReloader
[2022-07-02 20:24:37,530] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:24:45,176] [INFO] /Users/wangzijia/Api_project/Api_app/admin.py changed, reloading.
[2022-07-02 20:24:45,580] [INFO] Watching for file changes with StatReloader
[2022-07-02 20:26:36,086] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
